"91.103.252.8","https://twitter.com/TrackerC2Bot/status/1672031981545160705","malware","TrackerC2Bot IOC"
"107.150.4.197","https://twitter.com/noladefense/status/1672036517366095874","phishing","noladefense IOC"
"134.122.188.139","https://twitter.com/noladefense/status/1672051398228209664","phishing","noladefense IOC"
"134.122.188.236","https://twitter.com/noladefense/status/1672051417140396033","phishing","noladefense IOC"
"156.236.74.86","https://twitter.com/noladefense/status/1672055153866752002","phishing","noladefense IOC"
"34.117.33.233","https://twitter.com/noladefense/status/1672055210997317633","phishing","noladefense IOC"
"204.44.75.99","https://twitter.com/noladefense/status/1672058849090584576","phishing","noladefense IOC"
"38.60.248.232","https://twitter.com/noladefense/status/1672077815120887808","phishing","noladefense IOC"
"156.251.30.64","https://twitter.com/harugasumi/status/1672088696584286211","phishing","harugasumi IOC"
"198.55.123.185","https://twitter.com/noladefense/status/1672092909770817537","phishing","noladefense IOC"
"45.80.155.169","https://twitter.com/noladefense/status/1672092952968015876","phishing","noladefense IOC"
"103.140.239.214","https://twitter.com/noladefense/status/1672096024704212993","phishing","noladefense IOC"
"38.47.125.249","https://twitter.com/noladefense/status/1672097016774631424","phishing","noladefense IOC"
"198.251.89.176","https://twitter.com/noladefense/status/1672100492875268096","phishing","noladefense IOC"
"193.124.41.154","https://twitter.com/noladefense/status/1672103656903127040","phishing","noladefense IOC"
"185.106.93.161","https://twitter.com/noladefense/status/1672111812953661441","phishing","noladefense IOC"
"155.94.146.165","https://twitter.com/noladefense/status/1672132420009689091","phishing","noladefense IOC"
"45.62.67.129","https://twitter.com/drb_ra/status/1672135037179789312","Qakbot","drb_ra IOC"
"203.219.204.180","https://twitter.com/drb_ra/status/1672135059120201729","Qakbot","drb_ra IOC"
"142.154.58.207","https://twitter.com/drb_ra/status/1672135069719224320","Qakbot","drb_ra IOC"
"200.100.33.31","https://twitter.com/drb_ra/status/1672135078804090880","Qakbot","drb_ra IOC"
"102.157.134.72","https://twitter.com/drb_ra/status/1672135091189956609","Qakbot","drb_ra IOC"
"181.171.231.230","https://twitter.com/drb_ra/status/1672135109447761920","Qakbot","drb_ra IOC"
"187.170.150.63","https://twitter.com/drb_ra/status/1672135118515732480","Qakbot","drb_ra IOC"
"93.163.74.91","https://twitter.com/drb_ra/status/1672135127122554881","Qakbot","drb_ra IOC"
"109.220.83.213","https://twitter.com/drb_ra/status/1672135138740690946","Qakbot","drb_ra IOC"
"86.222.103.217","https://twitter.com/drb_ra/status/1672135151034179584","Qakbot","drb_ra IOC"
"64.237.92.116","https://twitter.com/drb_ra/status/1672135209368576002","Qakbot","drb_ra IOC"
"87.220.204.58","https://twitter.com/drb_ra/status/1672135251647135747","Qakbot","drb_ra IOC"
"173.199.124.134","https://twitter.com/K_N1kolenko/status/1672137881664598016","RedLine","K_N1kolenko IOC"
"78.47.22.201","https://twitter.com/K_N1kolenko/status/1672137881664598016","RedLine","K_N1kolenko IOC"
"114.132.216.158","https://twitter.com/drb_ra/status/1672151778878447617","CobaltStrike","drb_ra IOC"
"172.105.101.226","https://twitter.com/noladefense/status/1672172226068488192","phishing","noladefense IOC"
"172.245.254.111","https://twitter.com/noladefense/status/1672179731981033472","phishing","noladefense IOC"
"101.53.160.46","https://twitter.com/noladefense/status/1672182863146504193","phishing","noladefense IOC"
"156.251.172.6","https://twitter.com/noladefense/status/1672191622430294016","phishing","noladefense IOC"
"162.254.39.10","https://twitter.com/noladefense/status/1672206164480671745","phishing","noladefense IOC"
"118.107.46.9","https://twitter.com/noladefense/status/1672220930032926724","phishing","noladefense IOC"
"172.93.193.10","https://twitter.com/drb_ra/status/1672221566552121344","CobaltStrike","drb_ra IOC"
"194.50.153.11","https://twitter.com/drb_ra/status/1672221836849946624","CobaltStrike","drb_ra IOC"
"20.2.68.223","https://twitter.com/Coolcarlos17/status/1672241123585040386","phishing","Coolcarlos17 IOC"
"20.2.68.223","https://twitter.com/Coolcarlos17/status/1672241123585040386","scam","Coolcarlos17 IOC"
"212.1.213.86","https://twitter.com/Merlax_/status/1672277603544121344","phishing","Merlax_ IOC"
"3.237.178.236","https://twitter.com/Merlax_/status/1672277603544121344","phishing","Merlax_ IOC"
"8.217.76.208","https://twitter.com/Merlax_/status/1672277603544121344","phishing","Merlax_ IOC"
"18.204.142.71","https://twitter.com/drb_ra/status/1672292589037338663","CobaltStrike","drb_ra IOC"
"116.63.162.119","https://twitter.com/drb_ra/status/1672292617374056458","CobaltStrike","drb_ra IOC"
"66.63.188.137","https://twitter.com/drb_ra/status/1672292642036563977","CobaltStrike","drb_ra IOC"
"172.67.128.62","https://twitter.com/drb_ra/status/1672292674626306059","CobaltStrike","drb_ra IOC"
"104.21.0.198","https://twitter.com/drb_ra/status/1672292674626306059","CobaltStrike","drb_ra IOC"
"81.68.152.129","https://twitter.com/drb_ra/status/1672292674626306059","CobaltStrike","drb_ra IOC"
"113.31.106.19","https://twitter.com/drb_ra/status/1672292716854624256","CobaltStrike","drb_ra IOC"
"107.173.146.153","https://twitter.com/drb_ra/status/1672292750438350863","CobaltStrike","drb_ra IOC"
"103.211.124.126","https://twitter.com/drb_ra/status/1672292769308524571","CobaltStrike","drb_ra IOC"
"103.211.124.124","https://twitter.com/drb_ra/status/1672292769308524571","CobaltStrike","drb_ra IOC"
"103.211.124.123","https://twitter.com/drb_ra/status/1672292769308524571","CobaltStrike","drb_ra IOC"
"103.211.124.125","https://twitter.com/drb_ra/status/1672292769308524571","CobaltStrike","drb_ra IOC"
"111.90.146.161","https://twitter.com/drb_ra/status/1672292826384613383","CobaltStrike","drb_ra IOC"
"192.3.76.142","https://twitter.com/drb_ra/status/1672292869699252227","CobaltStrike","drb_ra IOC"
"101.33.205.73","https://twitter.com/drb_ra/status/1672293144031895552","CobaltStrike","drb_ra IOC"
"39.105.231.22","https://twitter.com/drb_ra/status/1672293175933714448","CobaltStrike","drb_ra IOC"
"43.139.116.197","https://twitter.com/drb_ra/status/1672293215037190144","CobaltStrike","drb_ra IOC"
"152.32.204.253","https://twitter.com/drb_ra/status/1672293250017705987","CobaltStrike","drb_ra IOC"
"95.164.87.22","https://twitter.com/drb_ra/status/1672293288752103431","CobaltStrike","drb_ra IOC"
"185.143.223.212","https://twitter.com/drb_ra/status/1672293288752103431","CobaltStrike","drb_ra IOC"
"88.214.26.54","https://twitter.com/drb_ra/status/1672293288752103431","CobaltStrike","drb_ra IOC"
"144.34.172.173","https://twitter.com/drb_ra/status/1672293362492162048","CobaltStrike","drb_ra IOC"
"8.219.185.16","https://twitter.com/drb_ra/status/1672293398013722644","CobaltStrike","drb_ra IOC"
"8.130.45.91","https://twitter.com/drb_ra/status/1672293926097526784","CobaltStrike","drb_ra IOC"
"36.111.175.46","https://twitter.com/drb_ra/status/1672293958653755398","CobaltStrike","drb_ra IOC"
"101.43.64.17","https://twitter.com/drb_ra/status/1672293994552803333","CobaltStrike","drb_ra IOC"
"119.13.106.46","https://twitter.com/drb_ra/status/1672294064522182663","CobaltStrike","drb_ra IOC"
